name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Azalyn Xo,33695596,1,0,Gilgamesh,Aether,5992,0,0a7db8993a7f4f16561cc84a302eff7d_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665914049,Crystal,319,0,WHM
Zetsu Kaiza,15922703,2,0,Jenova,Aether,5455,0,976656a732f9f9c5e7a1b68ece523bdf_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665915088,Crystal,844,0,DRG
Funkmaster Disconium,39174439,3,0,Sargatanas,Aether,4650,76,96fc1eb1014d59bcb1f11a409a99bdb3_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1665914607,Crystal,153,1,NIN
Rukaka Ruka,34081156,4,0,Cactuar,Aether,4069,0,32228868c24b05da69088fd2eddcfa9d_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1665913874,Crystal,361,4,DRG
Gala Aurora,41293767,5,0,Adamantoise,Aether,3738,0,7dc31b9a880ba3f36a3ef1208e0c5909_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665915583,Crystal,531,3,SAM
Sir Moon,17116119,6,0,Cactuar,Aether,3710,0,35721490b40b9de650ca6049c2c305f8_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1665914245,Crystal,186,0,DRG
Verzell Varion,17766578,7,0,Adamantoise,Aether,3606,0,1b46876e1079227a2160ce2ccd4e3aa2_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665915383,Crystal,199,0,DNC
Komachi Chan,22706714,8,0,Faerie,Aether,3205,0,06fd95f3a412eeee32a0c93c6d9513cb_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1665916749,Crystal,170,0,BLM
Middle Ovoo,42303051,9,0,Midgardsormr,Aether,3042,0,6aed757cf45db44cab2f469a9e1bfd3b_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1665914702,Crystal,138,5,BLM
Legendary Leon,17439640,10,0,Sargatanas,Aether,2892,0,883456fffdcc9f88fb9843202c1fed42_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1665916294,Crystal,124,0,SMN
Sarah Montcroix,21257525,11,0,Siren,Aether,2879,0,9456eff7edd9ad83824c6ded6b9777c8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1665913960,Crystal,307,0,BLU
Yuri Tsukihana,30386598,12,14,Jenova,Aether,2877,195,99095be4258299ff7d0d0ac0b6486022_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665914331,Crystal,162,4,NIN
Pyri Lionheart,31822220,13,12,Sargatanas,Aether,2798,0,485c32a7f2d70560c758f5d0c0079486_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1665914132,Crystal,227,4,NIN
Noga Cosnoh,12058107,14,13,Cactuar,Aether,2688,0,2ed29f4458018d1f538dd14b47de63b0_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1665913592,Crystal,641,0,SAM
Regis Darsik,37234597,15,19,Gilgamesh,Aether,2626,99,8703e463e2b8472f6a74401ba46ee3a6_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665915781,Crystal,235,1,SMN
Jay Vermillion,20310837,16,15,Adamantoise,Aether,2609,0,ae2f157d9c523947744b038a73f77be6_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665915539,Crystal,220,0,MNK
Kinda Smol,43182596,17,16,Cactuar,Aether,2596,0,1dc4918b5370029e28bea595eaa6ddd3_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1665914862,Crystal,222,0,SMN
F'zula Alleal,8158413,18,17,Gilgamesh,Aether,2535,0,dbc8d7057df4d58738303da52483bcfa_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665915318,Crystal,298,3,BRD
Laela Prismriver,1373063,19,18,Sargatanas,Aether,2528,0,ed2ce5e15107b8802d14a8db24b6d8e9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1665916018,Crystal,259,8,NIN
Primal Princess,40830066,20,0,Jenova,Aether,2407,0,b4674ae4d8b07578ae723618d9450cdc_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665916430,Crystal,103,0,PLD
American Hero,44163929,21,0,Sargatanas,Aether,2384,0,806fe0d7926801138ad67d6d4ad9d24b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1665915323,Crystal,111,0,DRG
Willielmus Lannis,9961810,22,0,Siren,Aether,2296,0,dfcf8b0d9668568d9792c854be7cb44a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1665914324,Crystal,279,0,SGE
Knin Alykel,9726390,23,25,Gilgamesh,Aether,2198,102,2af6f934ece0f4ec7e45cdf034ee13a5_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665916926,Crystal,164,3,SMN
Haruka Shimizu,34615369,24,23,Jenova,Aether,2167,0,f33a9934026108afd52be2c8ad41670a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665913859,Crystal,173,0,NIN
Jay Verhundred,43607851,25,24,Adamantoise,Aether,2114,0,6fb8bbfadad1988c1cab071cf876eb5c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665914760,Crystal,133,0,MNK
Agreed Indeed,35442337,26,42,Cactuar,Aether,2105,401,420d1175f93ad013aa9ab84ae2d42209_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1665913953,Crystal,260,8,DNC
Vivian Infinity,28047694,27,26,Jenova,Aether,2061,0,c83b9df632f78216eef2bc401df0981b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665916836,Crystal,170,0,BRD
Farsa Aed,5068221,28,27,Midgardsormr,Aether,2040,0,176d431db8a76185fe97af104836ac24_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1665916750,Crystal,166,0,MIN
M'ika Sfinx,36917542,29,28,Adamantoise,Aether,2029,0,57f3df10bcdd5c12cf7e5c0a389a46f8_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665915718,Crystal,459,0,MCH
Lynvara Stacia,14851122,30,29,Gilgamesh,Aether,2029,0,fd42ad18aa9b597063b63ef5eec615fb_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665914414,Crystal,81,0,WHM
Reol Fencir,23655612,31,30,Adamantoise,Aether,2016,0,751ba89539efc5877cb5d444ff9705d8_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665915304,Crystal,152,0,WHM
Xy Xx',42725250,32,31,Gilgamesh,Aether,2009,0,166a60a7c403f13c6dd234baa653edca_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665916123,Crystal,141,1,NIN
Emma Sah'mae,34788325,33,32,Midgardsormr,Aether,1998,0,89781d7fe360793c4ed7316c7c3ddafb_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1665916230,Crystal,138,0,AST
Xiao Baobao,34864246,34,33,Gilgamesh,Aether,1995,29,b7292ab55f454a1e43ddd8b122b85c1f_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1665917041,Crystal,135,6,BTN
Roega Dayum,44789293,35,34,Adamantoise,Aether,1956,0,360c084fd7f1918d115609fb4c351a69_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665913715,Crystal,83,0,MNK
Nikroulah Skysdotter,28270582,36,35,Adamantoise,Aether,1929,0,8cf547fce0f3f534f6e1fca98767b070_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665916300,Crystal,98,3,MCH
Original Ninomae,35808978,37,36,Adamantoise,Aether,1916,0,b244a7412043a7dd35bae3d62114182d_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1665914044,Crystal,116,0,SGE
Drathus Von'tenebrae,4217866,38,37,Jenova,Aether,1907,0,3fff0d48ad606c3dd770718289eef74b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1665915783,Crystal,281,0,SGE
Sarisa Sattva,27103405,39,38,Siren,Aether,1886,0,830af68053859e92c56c0e651012e683_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1665915430,Crystal,235,0,GNB
