name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Zetsu Kaiza,15922703,1,0,Jenova,Aether,3697,0,976656a732f9f9c5e7a1b68ece523bdf_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1658569947,Crystal,283,0,SAM
Staxl Boost,3672709,2,21,Gilgamesh,Aether,3062,884,dae92f80964edbafc6610f8d6c9ccc69_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1658570145,Crystal,129,23,NIN
Rukaka Ruka,34081156,3,0,Midgardsormr,Aether,3013,0,32228868c24b05da69088fd2eddcfa9d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1658570076,Crystal,173,0,MNK
Funkmaster Disconium,39174439,4,0,Sargatanas,Aether,3002,107,96fc1eb1014d59bcb1f11a409a99bdb3_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1658571961,Crystal,58,2,NIN
Lynvara Stacia,14851122,5,2,Gilgamesh,Aether,2990,-143,fd42ad18aa9b597063b63ef5eec615fb_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1658572213,Crystal,109,13,AST
Celesse Archon,5403993,6,12,Midgardsormr,Aether,2852,300,46c05696a375eb66cab3503bea79e4e4_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1658571397,Crystal,154,11,DRG
Thya Bowtail,8350112,7,6,Gilgamesh,Aether,2780,-3,eb0820b2d90ea082af18d8c558d9c273_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1658570853,Crystal,105,1,PLD
Alucard Kishimoto,31225246,8,7,Siren,Aether,2771,0,100bd4a98d9b52707868ab40463cc0a3_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1658570255,Crystal,62,0,WHM
Sir Moon,17116119,9,5,Cactuar,Aether,2743,-109,35721490b40b9de650ca6049c2c305f8_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1658571664,Crystal,110,5,DRG
Zeke Ewoza,38693513,10,8,Sargatanas,Aether,2679,0,60aab73f86d002c9ca644555b577f1fe_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1658571777,Crystal,68,0,NIN
Umi Chan,15473566,11,9,Gilgamesh,Aether,2676,0,ee18d3050e87a31ae374dbae2b5e03cd_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1658569710,Crystal,89,0,SGE
Lalafell Debuff,41359586,12,10,Gilgamesh,Aether,2659,-11,b227a63135ff4c8fad44674394802849_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1658571579,Crystal,68,9,NIN
Emah Sah'mae,20640929,13,11,Midgardsormr,Aether,2556,0,7749b8db0685830b9732b3ea97e5cc16_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1658572402,Crystal,118,0,WAR
