name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Cliffe Zanza,36074329,1,0,Spriggan,Chaos,4584,0,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1770113961,Ultima,279,0,SCH
Loty Coldwind,36521588,2,0,Twintania,Light,4068,0,3632cf6d20598f5c4c7b748be7e19153_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1770114331,Ultima,328,15,WAR
Lucy Lumi,35150838,3,0,Louisoix,Chaos,3862,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1770113445,Ultima,517,0,MCH
Crow Xo,44749262,4,0,Zodiark,Light,3770,0,54e5719ccbdb45c6de28f017b4365207_c274370774c6bc3483cc8740805f41bcfc0.jpg?1770116129,Ultima,109,0,WHM
Saboree Catboy,36051653,5,0,Spriggan,Chaos,3657,0,b61ec1080d608b5a83f30baef219dc02_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1770114342,Ultima,503,2,MCH
Cat Wife,21099767,6,0,Zodiark,Light,3423,0,76d1664265ae631c957cfab6c72cfba9_c274370774c6bc3483cc8740805f41bcfc0.jpg?1770114520,Ultima,194,0,RDM
Void Stellarvore,28691685,7,0,Raiden,Light,3413,0,79b02048d874bdc774a96223c423d519_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1770114644,Ultima,208,0,CRP
Miyu Moon,58918526,8,0,Moogle,Chaos,3365,0,1abf5ce3756f6fa0d1c5be2cd39491bc_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1770113207,Ultima,109,0,SAM
Raiden Thorne,27238016,9,14,Zodiark,Light,3194,195,96a909af8d24d60f6d8173f8cc16facb_c274370774c6bc3483cc8740805f41bcfc0.jpg?1770115920,Ultima,446,5,PLD
Maarato Cookie,20349526,10,9,Twintania,Light,3168,0,dbab16598b86bb31b2eb96070f723572_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1770113629,Ultima,193,0,MNK
Tsukuyo Ritlas,37800185,11,10,Odin,Light,3058,0,eca30840fe0bed8e80f620b5f57c49de_644311b63b607133c989d7c1188467dafc0.jpg?1770114191,Ultima,274,0,RDM
