name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Saboree Catboy,36051653,1,2,Spriggan,Chaos,1586,99,b61ec1080d608b5a83f30baef219dc02_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1766743126,Omega,74,7,DRK
Loty Coldwind,36521588,2,1,Twintania,Light,1487,0,3632cf6d20598f5c4c7b748be7e19153_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1766743246,Crystal,86,8,SCH
Raiden Thorne,27238016,3,0,Zodiark,Light,1482,0,96a909af8d24d60f6d8173f8cc16facb_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766743690,Crystal,75,0,BRD
Cliffe Zanza,36074329,4,0,Spriggan,Chaos,1432,100,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1766745528,Crystal,51,1,RDM
Moki Moki,14235486,5,0,Odin,Light,1397,95,82d3ef8d03fa7a6ddf4429f15fd296a2_644311b63b607133c989d7c1188467dafc0.jpg?1766745705,Crystal,42,12,MNK
Miyu Edelfelt,21335430,6,0,Phoenix,Light,1282,0,ba690d74246b4d07f543f0d9516feec2_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1766743073,Crystal,90,4,SCH
Akari Tsuki,31005286,7,0,Louisoix,Chaos,1126,0,28e1cfaecfbf911dc3621f5de74642aa_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1766744040,Crystal,26,0,MCH
Void Stellarvore,28691685,8,10,Raiden,Light,1101,199,79b02048d874bdc774a96223c423d519_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1766744927,Crystal,35,2,WAR
Milk Jds,10570379,9,8,Zodiark,Light,1100,0,cf8503b76a559329b409ac7cfe329e0c_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766744472,Crystal,57,0,AST
Marci Sidekick,41408431,10,9,Zodiark,Light,907,0,a9c3b41a05dec1fd191fe80f38009aa5_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766745149,Crystal,34,0,DRG
Dalik Mathis,9537863,11,17,Ragnarok,Chaos,907,295,fd4dde44208527cc20e58ba589d51f01_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1766745552,Crystal,33,5,GNB
Toki Isur,16811472,12,14,Lich,Light,895,101,0f38ca26bcfe5c4c064998df2afabe35_7206469080400ed57a5373d0a9c55c59fc0.jpg?1766744175,Crystal,35,5,SGE
Tsukuyo Ritlas,37800185,13,19,Odin,Light,889,300,eca30840fe0bed8e80f620b5f57c49de_644311b63b607133c989d7c1188467dafc0.jpg?1766743140,Crystal,41,3,SMN
Meryll Enetari,24681550,14,11,Cerberus,Chaos,888,0,f4fe16c70d7023e2101e19421c5abf1e_777c57311d510ca65dac3c1077dee435fc0.jpg?1766743342,Crystal,85,17,DNC
Cat Wife,21099767,15,12,Zodiark,Light,811,0,76d1664265ae631c957cfab6c72cfba9_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766744287,Crystal,36,0,PLD
Vai Zol,38270926,16,13,Odin,Light,802,0,2e78b44195db83336b1acbe75927a864_644311b63b607133c989d7c1188467dafc0.jpg?1766743002,Crystal,42,0,RDM
Ange Melrose,50267939,17,23,Omega,Chaos,798,297,f2fb3057962bf3d28bcce976076f5368_39e25ac3d737c46452305eefe324372cfc0.jpg?1766743590,Crystal,49,9,SAM
Mahou Mahou,5924021,18,30,Odin,Light,791,393,4c6afcfde744ebab926aa3423b6c4064_644311b63b607133c989d7c1188467dafc0.jpg?1766744354,Crystal,35,8,GNB
Mei Ko,35150838,19,15,Louisoix,Chaos,697,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1766743459,Crystal,94,0,DRK
Makoto Kurusu,52868514,20,16,Alpha,Light,695,0,8fbea6f85d026acc9443dee5147a6a0c_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1766744846,Crystal,92,0,VPR
Prisma Tic,38791879,21,22,Cerberus,Chaos,600,99,5220c35172bb26154c862a6d485e37b8_777c57311d510ca65dac3c1077dee435fc0.jpg?1766742929,Crystal,75,15,GNB
Imy Pure,24943089,22,18,Cerberus,Chaos,597,0,2e46879ac1baf7fc77ec2de872a0461c_777c57311d510ca65dac3c1077dee435fc0.jpg?1766743699,Crystal,71,13,SGE
Xen Thique,40172078,23,20,Odin,Light,506,0,8930228f4df0c18feea28ebbb1c451f2_644311b63b607133c989d7c1188467dafc0.jpg?1766743671,Crystal,28,9,AST
Wwwwwwwwww Wwwwwwwwww,22934838,24,21,Odin,Light,504,0,44b50a04ce7aed4e2c4699753f5b83bc_644311b63b607133c989d7c1188467dafc0.jpg?1766745586,Crystal,57,0,SCH
Sunie Dakwhil,12728791,25,24,Twintania,Light,500,0,4760f9b45bd6f71f83adbd97ab87eae3_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1766744340,Crystal,67,0,BRD
Sheidyn Windsor,30282791,26,25,Omega,Chaos,494,0,e3eaa192d0e2b6192580f940474cd0b5_39e25ac3d737c46452305eefe324372cfc0.jpg?1766743003,Crystal,80,10,DRK
Lex'ander Wayfarer,18009481,27,26,Odin,Light,405,0,0adfa03fe11940a91e3b6a2ed08ddb88_644311b63b607133c989d7c1188467dafc0.jpg?1766744073,Crystal,58,0,NIN
Kimbi Aoe,24693270,28,27,Shiva,Light,402,0,67e0ddfb70faf5725a971d086cfdce61_3fbff0e6b620e4d259dc427abc6574dafc0.jpg?1766745680,Crystal,100,7,MCH
Shia Sun,1754600,29,28,Odin,Light,402,0,7550981ba488e5ebe919aa3cb39efbfa_644311b63b607133c989d7c1188467dafc0.jpg?1766742219,Crystal,65,0,FSH
Crow Xo,44749262,30,29,Zodiark,Light,399,0,54e5719ccbdb45c6de28f017b4365207_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766744327,Crystal,9,0,WHM
Selin Naari,16360751,31,0,Cerberus,Chaos,397,0,fb2c3681e2cb33bdcd7894d5aad0b9ec_777c57311d510ca65dac3c1077dee435fc0.jpg?1766744828,Crystal,138,16,DRG
Ase Escadora,42603487,32,0,Alpha,Light,397,0,78626e6cf6f07875d5ac9527a5bd0c4d_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1766744262,Crystal,26,0,ALC
Deadrise Mutombo,31730694,33,0,Ragnarok,Chaos,393,0,a382acb94313f23d966dd6d39d909bea_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1766742795,Crystal,73,2,NIN
Astra L-wind,59277519,34,59,Omega,Chaos,304,304,85dd0c219e9fd0335ae5466e4d341957_39e25ac3d737c46452305eefe324372cfc0.jpg?1766743872,Crystal,101,8,DRK
Indigo Plateau,36110530,35,34,Odin,Light,299,0,4c00ab282042e71b2d627aafb68f14f3_644311b63b607133c989d7c1188467dafc0.jpg?1766743828,Crystal,43,0,VPR
Kitashi Kurel,57457596,36,35,Zodiark,Light,298,0,759aea1481bd6cb72e3423ca3ebe2529_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766743325,Crystal,48,0,UNK
Vanilla Blossom,41496807,37,43,Moogle,Chaos,297,99,b0e7d1b464d155d8791692fe2e47299d_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1766744082,Crystal,53,19,SMN
Shimori Bunihara,41866714,38,36,Phantom,Chaos,296,0,4f9bcdd015b43753cd5343c2e0825e93_f0a43d6e5eea19af337a176e9836acddfc0.jpg?1766742585,Crystal,20,0,PLD
Queue Janitor,58483943,39,124,Cerberus,Chaos,203,203,d534eab96156e0ae2bd2788a5a94c456_777c57311d510ca65dac3c1077dee435fc0.jpg?1766743856,Crystal,42,18,NIN
Lsi Lsi,47353875,40,37,Lich,Light,202,0,792b3235fe2fbd35d956e856c210194f_7206469080400ed57a5373d0a9c55c59fc0.jpg?1766743535,Crystal,14,0,PCT
Rhan Blackbell,58566811,41,76,Ragnarok,Chaos,201,201,cece90117e70879e1ef92411aecacb5b_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1766743629,Crystal,103,14,VPR
Zot To,18725302,42,83,Cerberus,Chaos,201,201,852c16bac4fe7f528a8653c65704e818_777c57311d510ca65dac3c1077dee435fc0.jpg?1766742305,Crystal,30,11,PLD
Phaey Yeon,58326616,43,38,Moogle,Chaos,200,0,6497d439e55c80c0156c198e7f135c78_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1766742582,Crystal,84,2,UNK
Roy Dimgao,29524655,44,39,Omega,Chaos,199,0,320af7149c63c337e5826c2c2cc1bf37_39e25ac3d737c46452305eefe324372cfc0.jpg?1766744948,Crystal,110,0,RDM
Strom Valentine,19009916,45,40,Cerberus,Chaos,199,0,a8dc2ae24adfae999c388093e3e213e8_777c57311d510ca65dac3c1077dee435fc0.jpg?1766742548,Crystal,16,0,MCH
Yamizura Kumozuma,19652230,46,41,Twintania,Light,199,0,24bbc9cebf09eb83efcbc272c3085fd1_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1766744741,Crystal,5,0,SCH
Tensei Kaiten,46690911,47,42,Raiden,Light,198,0,d68fe2cd8b67b36a7f9904682b1aad12_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1766743191,Crystal,121,0,PLD
Volunna Vanih,17426186,48,44,Odin,Light,100,0,48b8b0e9d1ce7700fd7418299cf87a96_644311b63b607133c989d7c1188467dafc0.jpg?1766744486,Crystal,114,0,BRD
Maki Hatake,58256956,49,84,Omega,Chaos,100,100,f65bf40d95342ebe3141def95c5232bc_39e25ac3d737c46452305eefe324372cfc0.jpg?1766745042,Crystal,106,19,WHM
Farnese Shieldmaiden,24419493,50,45,Cerberus,Chaos,100,0,dcec016c4a6cd9a2bd3a2b73183f5a65_777c57311d510ca65dac3c1077dee435fc0.jpg?1766743262,Crystal,75,0,WAR
Cleave Age,8618043,51,46,Cerberus,Chaos,100,0,be127ac560fb8f7cfb5f31ff1d832b19_777c57311d510ca65dac3c1077dee435fc0.jpg?1766745449,Crystal,71,0,SAM
Yuripa Arashi,37731658,52,60,Shiva,Light,100,100,73ff0d0b3cc5f92ec79dabffa2bedf80_3fbff0e6b620e4d259dc427abc6574dafc0.jpg?1766742926,Crystal,68,3,WAR
Marain Kousaka,12028721,53,64,Omega,Chaos,100,100,8eb57b43eb58ce6e50b90ee79ccb7cd7_39e25ac3d737c46452305eefe324372cfc0.jpg?1766745054,Crystal,55,5,SGE
Cecilia Wright,29686272,54,47,Omega,Chaos,100,0,521a76d7e6285dcc102337d8dcaba195_39e25ac3d737c46452305eefe324372cfc0.jpg?1766742237,Crystal,52,0,VPR
Maru Tani,58799026,55,61,Alpha,Light,100,100,b632027978294d1f77f2347d48fc3704_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1766744220,Crystal,51,6,WAR
Master Zoknik,47233914,56,48,Omega,Chaos,100,0,47b7a0d3c4816d6dc7cb85c85a3685f7_39e25ac3d737c46452305eefe324372cfc0.jpg?1766744334,Crystal,49,0,DRK
Katsumi Seikatsu,22390699,57,51,Cerberus,Chaos,100,0,6d28bab002e7518fa4a7d1d2056acc43_777c57311d510ca65dac3c1077dee435fc0.jpg?1766744634,Crystal,47,4,SGE
Neo Baka,38597003,58,49,Alpha,Light,100,0,0f9cb5aa64102380c9bd9028cd78b8d1_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1766744262,Crystal,46,0,SAM
Jeppe Zasaki,17331594,59,197,Zodiark,Light,100,100,dcbc5d384be5798c27a66fc4f28dc62a_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766744490,Crystal,45,12,FSH
Mori Ketsuyoku,26304448,60,50,Zodiark,Light,100,0,2c1a607d1f21aed0753106e5ac53ea1d_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766743475,Crystal,44,0,ALC
Sakurane Zero'yuurai,13075529,61,52,Ragnarok,Chaos,100,0,b65369d4b043831749f5fa45d2428e30_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1766743120,Crystal,35,0,PCT
Sophia Ariadne,11431073,62,70,Odin,Light,100,100,f4329ddf82a418a6e12f1ba978bc1523_644311b63b607133c989d7c1188467dafc0.jpg?1766742997,Crystal,26,11,WHM
Altrios Alrun,37280856,63,53,Odin,Light,100,0,eed006603ff3859a7471671dcb9c221c_644311b63b607133c989d7c1188467dafc0.jpg?1766745617,Crystal,25,0,GNB
Brutal Killer,8885117,64,54,Raiden,Light,100,0,30c6a6207c7e93d407784888a7f29c97_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1766744171,Crystal,23,0,WAR
Luca Natura,26126798,65,55,Omega,Chaos,100,0,aee9a8f332f96a4c5a45923c0e82782a_39e25ac3d737c46452305eefe324372cfc0.jpg?1766744174,Crystal,22,0,GSM
Auelin Fae,18291844,66,56,Zodiark,Light,100,0,2d6204db02c5efce86aca234fd6f1ce1_c274370774c6bc3483cc8740805f41bcfc0.jpg?1766744717,Crystal,19,0,MCH
Miyu Moon,58918526,67,0,Moogle,Chaos,100,0,1abf5ce3756f6fa0d1c5be2cd39491bc_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1766745526,Crystal,14,0,SAM
Sice Seven,15008161,68,57,Moogle,Chaos,100,0,23657ac0d29f4bc5667ef1e00cf528f8_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1766742457,Crystal,13,0,AST
Snap Ringer,18714030,68,176,Omega,Chaos,100,100,77577ce781d587b133c9c53da0974817_39e25ac3d737c46452305eefe324372cfc0.jpg?1766744669,Crystal,13,13,AST
Aya Ayane,41570933,70,58,Sagittarius,Chaos,0,0,987c1389de1f2b6552a2407735702553_44ca0844398b2d010d8cd4a31ddb023dfc0.jpg?1766745288,Diamond,153,0,UNK
