name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Zetsu Kaiza,15922703,1,0,Jenova,Aether,3989,0,976656a732f9f9c5e7a1b68ece523bdf_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1663754671,Crystal,618,34,NIN
Gala Aurora,41293767,2,5,Adamantoise,Aether,3401,500,7dc31b9a880ba3f36a3ef1208e0c5909_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663754422,Crystal,350,10,SGE
Komachi Chan,22706714,3,2,Faerie,Aether,3205,0,06fd95f3a412eeee32a0c93c6d9513cb_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1663756497,Crystal,158,7,AST
Funkmaster Disconium,39174439,4,3,Sargatanas,Aether,2997,0,96fc1eb1014d59bcb1f11a409a99bdb3_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1663754607,Crystal,99,0,NIN
Rukaka Ruka,34081156,5,4,Cactuar,Aether,2957,0,32228868c24b05da69088fd2eddcfa9d_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1663756399,Crystal,168,0,PLD
Sir Moon,17116119,6,0,Cactuar,Aether,2882,3,35721490b40b9de650ca6049c2c305f8_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1663756208,Crystal,134,3,DRG
Azalyn Xo,33695596,7,0,Gilgamesh,Aether,2852,0,0a7db8993a7f4f16561cc84a302eff7d_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1663756840,Crystal,149,14,BLM
Knin Alykel,9726390,8,0,Gilgamesh,Aether,2096,0,2af6f934ece0f4ec7e45cdf034ee13a5_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1663756130,Crystal,161,0,NIN
M'ika Sfinx,36917542,9,0,Adamantoise,Aether,2029,0,57f3df10bcdd5c12cf7e5c0a389a46f8_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663756960,Crystal,416,3,MCH
Jay Vermillion,20310837,10,16,Adamantoise,Aether,2003,401,ae2f157d9c523947744b038a73f77be6_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663755402,Crystal,162,7,MNK
Yuri Tsukihana,30386598,11,12,Jenova,Aether,1923,101,99095be4258299ff7d0d0ac0b6486022_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1663754809,Crystal,121,1,SAM
Drathus Von'tenebrae,4217866,12,10,Jenova,Aether,1898,0,3fff0d48ad606c3dd770718289eef74b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1663753646,Crystal,252,4,SGE
Brian Ricardo,9364090,13,11,Adamantoise,Aether,1876,0,c00688b4ac9b567c1a4de9d648fbbff4_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663756509,Crystal,141,0,WHM
Haruka Shimizu,34615369,14,13,Jenova,Aether,1775,0,f33a9934026108afd52be2c8ad41670a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1663753997,Crystal,101,0,SAM
American Hero,44163929,15,14,Sargatanas,Aether,1696,0,806fe0d7926801138ad67d6d4ad9d24b_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1663756428,Crystal,78,0,DRG
Echo Derp,24796730,16,15,Faerie,Aether,1683,0,40e3aa3e70759498a5fc4ebf0f986166_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1663753955,Crystal,136,0,SMN
Reol Fencir,23655612,17,28,Adamantoise,Aether,1622,301,751ba89539efc5877cb5d444ff9705d8_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663756408,Crystal,130,5,WHM
Noga Cosnoh,12058107,18,17,Cactuar,Aether,1595,0,2ed29f4458018d1f538dd14b47de63b0_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1663755039,Crystal,303,16,SAM
Willielmus Lannis,9961810,19,21,Siren,Aether,1539,96,dfcf8b0d9668568d9792c854be7cb44a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1663755360,Crystal,165,4,SGE
Sarah Montcroix,21257525,20,18,Siren,Aether,1509,0,9456eff7edd9ad83824c6ded6b9777c8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1663754327,Crystal,241,2,NIN
Original Ninomae,35808978,21,19,Adamantoise,Aether,1498,4,b244a7412043a7dd35bae3d62114182d_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1663754044,Crystal,109,2,SGE
