name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Jay Vermillion,20310837,1,0,Adamantoise,Aether,5115,473,ae2f157d9c523947744b038a73f77be6_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704968414,Crystal,239,14,UNK
Witch Faerie,35800212,2,0,Gilgamesh,Aether,4099,0,7a339df97d3690951b893cd3197e71ac_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1704967696,Crystal,424,9,UNK
Bryn Creature,48133438,3,0,Siren,Aether,3910,0,1ae67fab78b36dc1a625cdf6f4b9383d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1704966177,Crystal,166,0,UNK
Sayako Saya,50106047,4,0,Adamantoise,Aether,3497,0,75e9983a4dd07e7e5de0ed1ac11a23fb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704968211,Crystal,370,0,UNK
Sena Yehn,45889375,5,0,Adamantoise,Aether,2660,0,51a0c92192dd2a74b4baba06f531d30f_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704967680,Crystal,102,0,UNK
Aether Machinist,49581561,6,0,Adamantoise,Aether,2469,0,8123a273329c766a5977ddb74bb7ec2c_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704969096,Crystal,66,0,UNK
Serif Spiegel,1791314,7,0,Adamantoise,Aether,2395,0,ac0a0dda5f18422d576635299cd7a28f_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704968231,Crystal,170,0,UNK
Mac Arena,21560395,8,0,Adamantoise,Aether,2345,0,30fa962580974874808d1a8b67407ebb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704965803,Crystal,137,0,UNK
Neo Dymium,33030676,9,0,Siren,Aether,2341,0,24be6098cf7acc2de169d92917d3299f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1704968413,Crystal,261,5,UNK
Mi Ly,37964161,10,0,Gilgamesh,Aether,2276,0,f3300c3e28b3c5b4a3767a587341831e_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1704969135,Crystal,112,0,UNK
Tohgado Megado,38365878,11,13,Adamantoise,Aether,2219,196,e24039a37310e592079a628de162cf3a_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704966435,Crystal,311,4,UNK
Zeke Ewoza,38693513,12,11,Sargatanas,Aether,2183,0,60aab73f86d002c9ca644555b577f1fe_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1704966917,Crystal,140,0,UNK
Agreed Indeed,35442337,13,12,Cactuar,Aether,2099,0,420d1175f93ad013aa9ab84ae2d42209_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1704968890,Crystal,104,0,UNK
Noga Cosnoh,12058107,14,0,Cactuar,Aether,1835,0,2ed29f4458018d1f538dd14b47de63b0_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1704967148,Crystal,544,11,UNK
Cazador Szarr,49134101,15,0,Siren,Aether,1799,0,eaa3597068a762e6ec1bc567d0f7af4f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1704968704,Crystal,75,0,UNK
Nanaya Shiki,46790422,16,0,Sargatanas,Aether,1780,0,ddaa72310af76fbf85ef9b09f69fa4cd_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1704965736,Crystal,84,0,UNK
S'jay Sharks,18807626,17,18,Cactuar,Aether,1728,12,68294efd5b1aeb5bd1a36477f7c0e3cf_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1704968950,Crystal,117,5,UNK
Sarah Montcroix,21257525,18,17,Siren,Aether,1717,0,9456eff7edd9ad83824c6ded6b9777c8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1704966074,Crystal,150,0,UNK
Merlin Emryss,9605720,19,28,Faerie,Aether,1697,214,87179f28ae17956a4d43567dadf6ea60_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1704966612,Crystal,144,5,UNK
Raphtalia Solari,8126326,20,19,Adamantoise,Aether,1643,0,baeca36f0f50dbb796496ea18e58ee30_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704967775,Crystal,91,0,UNK
Alenora Wintersong,42967636,21,74,Adamantoise,Aether,1631,713,ed1d599894bc7afd3daf7ba4d07c1358_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704967714,Crystal,57,10,UNK
Pache Knowledge,50500136,22,20,Adamantoise,Aether,1621,0,ce18ddc82c5f6518e72fdd555b80a4ff_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1704967524,Crystal,91,6,UNK
Doreq Avagnar,48863232,23,21,Sargatanas,Aether,1615,0,51fefb2e09c48618f8cc6e0db9efb1b0_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1704968234,Crystal,94,0,UNK
Aibertain Mando,32541700,24,22,Jenova,Aether,1580,0,8dec967ad48c9a703018a7445740a7f3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1704969216,Crystal,306,0,UNK
Mac Arena,41515245,25,36,Faerie,Aether,1576,191,5f1fd66e9824593ba5bdee1507b1de5f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1704966784,Crystal,195,9,UNK
G'oemon Da'chad,47001853,26,23,Sargatanas,Aether,1559,0,a1bd7446d21e32ba4bfb7a75eb6bff00_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1704966354,Crystal,62,0,UNK
Norma Jeannie,28105106,27,24,Jenova,Aether,1529,0,bff6f64f1e9dd700a962c74db4bf4812_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1704967698,Crystal,55,0,UNK
Nola Ustrina,1383977,28,25,Cactuar,Aether,1509,0,fe0089ca21e248dc5546d2eae49f43ae_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1704968231,Crystal,235,0,UNK
Milanesa Asesina,24258558,29,26,Cactuar,Aether,1502,0,fba25ed72613de033978f2e99c974234_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1704965705,Crystal,106,0,UNK
