name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Prisma Tic,38791879,1,3,Cerberus,Chaos,1491,507,5220c35172bb26154c862a6d485e37b8_777c57311d510ca65dac3c1077dee435fc0.jpg?1731925827,Crystal,113,14,AST
Lex'ander Wayfarer,18009481,2,4,Odin,Light,1285,498,0adfa03fe11940a91e3b6a2ed08ddb88_644311b63b607133c989d7c1188467dafc0.jpg?1731926262,Crystal,74,8,SAM
Fiven Fiven,24996868,3,1,Lich,Light,1189,0,f574b4a1ff1aade4f34a98795138319b_7206469080400ed57a5373d0a9c55c59fc0.jpg?1731926246,Crystal,122,0,BSM
Slayn Lockmeier,43624360,4,9,Ragnarok,Chaos,1187,496,6e8ed130575c22a15b32af255b35348b_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1731926279,Crystal,106,16,PLD
Mei Ko,35150838,5,2,Louisoix,Chaos,1104,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1731923265,Crystal,201,47,RDM
Enrei Esthule,16223299,6,11,Omega,Chaos,1000,400,075328fa236ca776da32524ca8bd395c_39e25ac3d737c46452305eefe324372cfc0.jpg?1731925173,Crystal,126,13,MNK
Shino Yaru,38308969,7,10,Phoenix,Light,970,288,0662727bb913ed7fe3009f3542ea1e64_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1731924353,Crystal,104,21,DRK
Mamiyama Kamimama,37371304,8,5,Spriggan,Chaos,901,119,3c6fd6569d3dce40308c9a2a1f3c3bfa_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1731923165,Crystal,137,25,PCT
Miyu Edelfelt,21335430,9,6,Phoenix,Light,880,102,ba690d74246b4d07f543f0d9516feec2_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1731926082,Crystal,128,18,WHM
Cliffe Zanza,36074329,10,16,Spriggan,Chaos,814,413,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1731925087,Crystal,166,21,SAM
Moki Moki,14235486,11,20,Odin,Light,787,588,82d3ef8d03fa7a6ddf4429f15fd296a2_644311b63b607133c989d7c1188467dafc0.jpg?1731925008,Crystal,81,9,DRG
