name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Cliffe Zanza,36074329,1,4,Spriggan,Chaos,3982,492,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1779801638,Ultima,267,7,MNK
Mamiyama Kamimama,37371304,2,1,Spriggan,Chaos,3895,87,3c6fd6569d3dce40308c9a2a1f3c3bfa_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1779800944,Ultima,153,13,PCT
Moki Moki,14235486,3,5,Odin,Light,3668,216,82d3ef8d03fa7a6ddf4429f15fd296a2_644311b63b607133c989d7c1188467dafc0.jpg?1779798535,Ultima,134,16,DRG
Crow Kaien,44749262,4,2,Zodiark,Light,3573,0,54e5719ccbdb45c6de28f017b4365207_c274370774c6bc3483cc8740805f41bcfc0.jpg?1779798737,Ultima,133,0,BLM
Saboree Catboy,36051653,5,3,Spriggan,Chaos,3529,28,b61ec1080d608b5a83f30baef219dc02_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1779800526,Ultima,373,15,RPR
Lybel Alyborias,25836089,6,0,Louisoix,Chaos,3366,0,a86b680e6c4e5e23befaaaf535a158de_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1779800465,Ultima,239,0,RPR
Miyu Moon,58918526,7,9,Moogle,Chaos,3144,97,1abf5ce3756f6fa0d1c5be2cd39491bc_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1779800417,Ultima,136,7,SAM
Lucy Lumi,35150838,8,7,Louisoix,Chaos,3095,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1779798688,Ultima,447,13,PCT
Claire Hart,4540427,9,8,Ragnarok,Chaos,3083,0,063274896aa445e2aa87e44be3be1981_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1779799847,Ultima,106,0,DNC
Miyu Edelfelt,21335430,10,0,Phoenix,Light,2912,0,ba690d74246b4d07f543f0d9516feec2_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1779801315,Omega,275,15,AST
Lex'ander Wayfarer,18009481,11,0,Odin,Light,2864,0,0adfa03fe11940a91e3b6a2ed08ddb88_644311b63b607133c989d7c1188467dafc0.jpg?1779799494,Omega,177,0,DRK
Loty Coldwind,36521588,12,13,Twintania,Light,2748,104,3632cf6d20598f5c4c7b748be7e19153_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1779800097,Omega,229,3,WAR
Raiden Thorne,27238016,13,14,Zodiark,Light,2736,197,96a909af8d24d60f6d8173f8cc16facb_c274370774c6bc3483cc8740805f41bcfc0.jpg?1779801682,Omega,86,5,BRD
Meryll Enetari,24681550,14,12,Cerberus,Chaos,2734,0,f4fe16c70d7023e2101e19421c5abf1e_777c57311d510ca65dac3c1077dee435fc0.jpg?1779798956,Omega,280,5,DNC
Akari Tsuki,31005286,15,0,Louisoix,Chaos,2474,0,28e1cfaecfbf911dc3621f5de74642aa_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1779799852,Omega,129,6,MNK
Tsukuyo Ritlas,37800185,16,0,Odin,Light,2437,0,eca30840fe0bed8e80f620b5f57c49de_644311b63b607133c989d7c1188467dafc0.jpg?1779801707,Omega,87,0,RDM
Scarlet Rose,26616217,17,0,Spriggan,Chaos,2405,0,96ad88f23a708e8d6e391f669986d57c_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1779800414,Omega,211,16,WAR
Marci Sidekick,41408431,18,29,Zodiark,Light,2398,497,a9c3b41a05dec1fd191fe80f38009aa5_c274370774c6bc3483cc8740805f41bcfc0.jpg?1779801384,Omega,60,5,DRG
Vai Zol,38270926,19,18,Odin,Light,2386,0,2e78b44195db83336b1acbe75927a864_644311b63b607133c989d7c1188467dafc0.jpg?1779800187,Omega,166,0,RDM
Blue Cat,47356852,20,25,Twintania,Light,2372,412,fc9492796dbee9f84ae010350ec7759c_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1779801177,Omega,182,10,NIN
Aura Sphere,30657353,21,19,Zodiark,Light,2358,0,6cc4a373eafbcbf88a340a52d95f133e_c274370774c6bc3483cc8740805f41bcfc0.jpg?1779800100,Omega,260,15,AST
Toni Kroos,52385787,22,20,Twintania,Light,2295,0,51ea95d392db97feb9c9d09ad8b50a58_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1779799959,Omega,186,0,AST
Elohim Meth,60682611,23,34,Raiden,Light,2194,482,0b14f1751b014118eca06236e1fdf2bf_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1779800685,Omega,337,10,UNK
Yamizura Kumozuma,19652230,24,0,Twintania,Light,2162,194,24bbc9cebf09eb83efcbc272c3085fd1_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1779799912,Omega,80,2,SCH
Taiya Li,41293767,25,21,Phoenix,Light,2131,70,7dc31b9a880ba3f36a3ef1208e0c5909_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1779800593,Omega,133,6,BRD
Xen Thique,40172078,26,23,Odin,Light,2104,102,8930228f4df0c18feea28ebbb1c451f2_644311b63b607133c989d7c1188467dafc0.jpg?1779801700,Omega,80,1,SCH
Big Catfish,47870008,27,22,Cerberus,Chaos,2010,0,e1145112395cac897fb817226feefc06_777c57311d510ca65dac3c1077dee435fc0.jpg?1779801512,Omega,128,0,SGE
Shia Sun,1754600,28,26,Odin,Light,1948,0,7550981ba488e5ebe919aa3cb39efbfa_644311b63b607133c989d7c1188467dafc0.jpg?1779800131,Omega,131,14,SCH
Lylia Venis,13391767,29,27,Moogle,Chaos,1917,0,79af70239d663a69f312f0788f3cf927_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1779798923,Omega,88,0,PCT
Tyra Kett,26531277,30,28,Spriggan,Chaos,1907,0,101b7ec48bba5c5e5b34fda1316c57bc_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1779798757,Omega,257,19,DRG
Ange Melrose,50267939,31,48,Omega,Chaos,1886,368,f2fb3057962bf3d28bcce976076f5368_39e25ac3d737c46452305eefe324372cfc0.jpg?1779800158,Omega,246,14,BRD
Tei Tei,36611700,32,30,Odin,Light,1799,0,21c224545e3d3af775a3d377c8e444bf_644311b63b607133c989d7c1188467dafc0.jpg?1779799462,Omega,235,0,AST
Aurora Maou,26517539,33,31,Louisoix,Chaos,1781,0,433a49b5cc43b35afac03d97c50262f9_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1779801458,Omega,213,15,PLD
Kyouko Owo,25629243,34,32,Louisoix,Chaos,1760,0,4fbeb17208a00397ad05eebfc2d20d2f_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1779800589,Omega,96,0,MNK
Tarutella Goldfish,4235488,35,33,Phoenix,Light,1728,0,f269741c27ca22c02db955557e7283fa_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1779799074,Omega,181,0,DNC
Dalik Mathis,9537863,36,40,Ragnarok,Chaos,1697,105,fd4dde44208527cc20e58ba589d51f01_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1779799435,Omega,192,15,GNB
Ase Escadora,42603487,37,35,Alpha,Light,1691,0,78626e6cf6f07875d5ac9527a5bd0c4d_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1779800897,Omega,162,0,SAM
Yun' Yun,11341467,38,36,Cerberus,Chaos,1690,0,df098ceed6d9cf14cf61cc4110cd6cb5_777c57311d510ca65dac3c1077dee435fc0.jpg?1779801762,Omega,368,20,WHM
