name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Cliffe Zanza,36074329,1,0,Spriggan,Chaos,3043,0,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1763804364,Ultima,75,0,MNK
Void Stellarvore,28691685,2,0,Raiden,Light,2853,0,79b02048d874bdc774a96223c423d519_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1763805123,Omega,103,0,MNK
Milk Jds,10570379,3,0,Zodiark,Light,2851,0,cf8503b76a559329b409ac7cfe329e0c_c274370774c6bc3483cc8740805f41bcfc0.jpg?1763805567,Omega,235,0,AST
Xen Thique,40172078,4,0,Odin,Light,2733,0,8930228f4df0c18feea28ebbb1c451f2_644311b63b607133c989d7c1188467dafc0.jpg?1763804482,Omega,106,0,WAR
Sheidyn Windsor,30282791,5,0,Omega,Chaos,2521,0,e3eaa192d0e2b6192580f940474cd0b5_39e25ac3d737c46452305eefe324372cfc0.jpg?1763804437,Omega,190,0,SAM
Mei Ko,35150838,6,0,Louisoix,Chaos,2442,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1763806606,Omega,395,0,RPR
Yuuki Ishikawa,58888106,7,0,Raiden,Light,2178,0,426836e5fd13115a49861ae9fa756918_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1763806347,Omega,84,0,MNK
Lex'ander Wayfarer,18009481,8,0,Odin,Light,2104,0,0adfa03fe11940a91e3b6a2ed08ddb88_644311b63b607133c989d7c1188467dafc0.jpg?1763805879,Omega,152,0,MCH
Shino Yaru,38308969,9,0,Phoenix,Light,2091,0,0662727bb913ed7fe3009f3542ea1e64_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1763807181,Omega,95,0,UNK
Akari Tsuki,31005286,10,0,Louisoix,Chaos,2075,0,28e1cfaecfbf911dc3621f5de74642aa_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1763804541,Omega,34,0,MNK
Your Fault,57180276,11,0,Odin,Light,2060,0,b52aaca8aeae996561b72f3a6cde3c4a_644311b63b607133c989d7c1188467dafc0.jpg?1763804756,Omega,68,0,VPR
Toki Isur,16811472,12,0,Lich,Light,2020,0,0f38ca26bcfe5c4c064998df2afabe35_7206469080400ed57a5373d0a9c55c59fc0.jpg?1763806906,Omega,258,0,WAR
Doomballoon Dapingus,47578759,13,0,Alpha,Light,2006,0,4a4c34260172eebb84eaf61edb344efa_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1763805272,Omega,136,0,SAM
Vanilla Blossom,41496807,14,0,Moogle,Chaos,1917,0,b0e7d1b464d155d8791692fe2e47299d_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1763804286,Omega,127,0,SMN
Meryll Enetari,24681550,15,0,Cerberus,Chaos,1731,0,f4fe16c70d7023e2101e19421c5abf1e_777c57311d510ca65dac3c1077dee435fc0.jpg?1763807545,Omega,160,0,MNK
Yamizura Kumozuma,19652230,16,0,Twintania,Light,1701,0,24bbc9cebf09eb83efcbc272c3085fd1_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1763807803,Omega,93,0,SGE
